,IV,b-even_Price,contract,diff,h_return,l_return,last price,return,strike,volume
BAC180420C00013000,0.0,25.6,CALL,-14.64,242.0,166.0000000000002,12.6,204.00000000000009,13.0,10
BAC180420C00015000,0.7217,27.65,CALL,-12.64,36.99999999999992,-38.99999999999988,12.65,-0.9999999999999787,15.0,2
BAC180420C00017000,0.5996,27.7,CALL,-10.64,32.00000000000003,-43.99999999999977,10.7,-5.999999999999872,17.0,1
BAC180420C00018000,0.4648,27.54,CALL,-9.64,48.00000000000004,-27.99999999999976,9.54,10.000000000000142,18.0,9
BAC180420C00019000,0.0,26.38,CALL,-8.64,164.00000000000006,88.00000000000026,7.38,126.00000000000016,19.0,10
BAC180420C00020000,0.44530000000000003,27.95,CALL,-7.640000000000001,7.000000000000028,-68.99999999999977,7.95,-30.999999999999872,20.0,20
BAC180420C00021000,0.419,27.9,CALL,-6.640000000000001,11.999999999999744,-64.00000000000006,6.9,-25.9999999999998,21.0,3
BAC180420C00022000,0.3897,28.12,CALL,-5.640000000000001,-10.000000000000142,-85.99999999999994,6.12,-48.00000000000004,22.0,4
BAC180420C00023000,0.3186,28.1,CALL,-4.640000000000001,-7.9999999999998295,-83.99999999999963,5.1,-46.000000000000085,23.0,5
BAC180420C00024000,0.30519999999999997,28.21,CALL,-3.6400000000000006,-19.000000000000128,-94.99999999999993,4.21,-57.00000000000003,24.0,9
BAC180420C00025000,0.292,28.4,CALL,-2.6400000000000006,-37.9999999999999,-113.9999999999997,3.4,-75.9999999999998,25.0,26
BAC180420C00026000,0.2766,28.82,CALL,-1.6400000000000006,-80.00000000000007,-155.9999999999999,2.82,-117.99999999999997,26.0,92
BAC180420C00027000,0.2673,29.15,CALL,-0.6400000000000006,-112.9999999999999,-188.99999999999972,2.15,-150.9999999999998,27.0,"5,228"
BAC180420C00028000,0.2588,29.64,CALL,0.35999999999999943,-162.0000000000001,-237.9999999999999,1.64,-200.0,28.0,284
BAC180420C00029000,0.2515,30.2,CALL,1.3599999999999994,-217.99999999999997,-293.9999999999998,1.2,-255.9999999999999,29.0,137
BAC180420C00030000,0.24609999999999999,30.88,CALL,2.3599999999999994,-285.99999999999994,-361.9999999999998,0.88,-323.99999999999983,30.0,88
BAC180420C00031000,0.252,31.69,CALL,3.3599999999999994,-367.00000000000017,-443.0,0.69,-405.00000000000006,31.0,"1,180"
BAC180420C00032000,0.2378,32.43,CALL,4.359999999999999,-441.0,-516.9999999999998,0.43,-478.9999999999999,32.0,74
BAC180420C00033000,0.2427,33.32,CALL,5.359999999999999,-530.0000000000001,-605.9999999999999,0.32,-568.0,33.0,71
BAC180420C00034000,0.2334,34.2,CALL,6.359999999999999,-618.0,-693.9999999999998,0.2,-655.9999999999999,34.0,"5,502"
BAC180420C00035000,0.23879999999999998,35.13,CALL,7.359999999999999,-711.0,-786.9999999999998,0.13,-748.9999999999999,35.0,200
BAC180420P00012000,0.5117,11.99,PUT,-15.64,-1527.0000000000002,-1603.0,0.01,-1565.0,12.0,200
BAC180420P00013000,0.49219999999999997,12.97,PUT,-14.64,-1429.0,-1505.0,0.03,-1467.0,13.0,20
BAC180420P00014000,0.4648,13.97,PUT,-13.64,-1329.0,-1405.0,0.03,-1367.0,14.0,100
BAC180420P00015000,0.38280000000000003,14.98,PUT,-12.64,-1228.0,-1304.0,0.02,-1266.0,15.0,3
BAC180420P00016000,0.46090000000000003,15.89,PUT,-11.64,-1137.0,-1213.0,0.11,-1175.0,16.0,6
BAC180420P00017000,0.3555,16.95,PUT,-10.64,-1031.0000000000002,-1107.0,0.05,-1069.0000000000002,17.0,"1,220"
BAC180420P00018000,0.3457,17.93,PUT,-9.64,-933.0000000000002,-1009.0,0.07,-971.0000000000001,18.0,317
BAC180420P00019000,0.32030000000000003,18.92,PUT,-8.64,-834.0,-909.9999999999998,0.08,-871.9999999999999,19.0,200
BAC180420P00020000,0.3037,19.86,PUT,-7.640000000000001,-740.0000000000002,-816.0,0.14,-778.0000000000001,20.0,4
BAC180420P00021000,0.293,20.8,PUT,-6.640000000000001,-646.0000000000001,-721.9999999999999,0.2,-684.0,21.0,12
BAC180420P00022000,0.2832,21.7,PUT,-5.640000000000001,-556.0000000000002,-632.0,0.3,-594.0000000000001,22.0,8
BAC180420P00023000,0.27440000000000003,22.56,PUT,-4.640000000000001,-470.0000000000003,-546.0000000000001,0.44,-508.00000000000017,23.0,363
BAC180420P00024000,0.2659,23.37,PUT,-3.6400000000000006,-389.00000000000006,-464.9999999999999,0.63,-426.99999999999994,24.0,81
BAC180420P00025000,0.2559,24.12,PUT,-2.6400000000000006,-314.00000000000006,-389.9999999999999,0.88,-351.99999999999994,25.0,33
BAC180420P00026000,0.2481,24.81,PUT,-1.6400000000000006,-245.00000000000028,-321.0000000000001,1.19,-283.00000000000017,26.0,14
BAC180420P00027000,0.239,25.47,PUT,-0.6400000000000006,-179.00000000000028,-255.00000000000006,1.53,-217.00000000000017,27.0,15
BAC180420P00028000,0.2322,25.93,PUT,0.35999999999999943,-133.00000000000017,-209.0,2.07,-171.00000000000009,28.0,43
BAC180420P00029000,0.2241,26.34,PUT,1.3599999999999994,-92.00000000000017,-167.99999999999997,2.66,-130.00000000000006,29.0,123
BAC180420P00030000,0.19899999999999998,26.9,PUT,2.3599999999999994,-36.0000000000003,-112.0000000000001,3.1,-74.0000000000002,30.0,20
BAC180420P00034000,0.3037,27.0,PUT,6.359999999999999,-26.000000000000156,-101.99999999999996,7.0,-64.00000000000006,34.0,4
