,IV,b-even_Price,contract,diff,h_return,l_return,last price,return,strike,volume
BAC171201C00021000,0.8086,27.77,CALL,-6.640000000000001,25.0,-50.9999999999998,6.77,-12.9999999999999,21.0,2
BAC171201C00022000,0.7334,27.54,CALL,-5.640000000000001,48.00000000000004,-27.99999999999976,5.54,10.000000000000142,22.0,30
BAC171201C00022500,0.0,25.81,CALL,-5.140000000000001,221.00000000000009,145.00000000000028,3.31,183.00000000000017,22.5,10
BAC171201C00023000,0.6279,27.35,CALL,-4.640000000000001,67.00000000000017,-8.99999999999963,4.35,28.999999999999915,23.0,7
BAC171201C00024000,0.5352,27.93,CALL,-3.6400000000000006,8.999999999999986,-66.99999999999982,3.93,-28.999999999999915,24.0,55
BAC171201C00024500,0.5049,27.86,CALL,-3.1400000000000006,16.000000000000014,-59.99999999999979,3.36,-21.999999999999886,24.5,50
BAC171201C00025000,0.3818,27.68,CALL,-2.6400000000000006,33.999999999999986,-41.999999999999815,2.68,-3.9999999999999147,25.0,28
BAC171201C00025500,0.3428,27.73,CALL,-2.1400000000000006,28.999999999999915,-46.999999999999886,2.23,-8.999999999999986,25.5,12
BAC171201C00026000,0.37310000000000004,28.0,CALL,-1.6400000000000006,1.9999999999999574,-73.99999999999984,2.0,-35.99999999999994,26.0,80
BAC171201C00026500,0.33840000000000003,28.02,CALL,-1.1400000000000006,0.0,-75.9999999999998,1.52,-37.9999999999999,26.5,103
BAC171201C00027000,0.2681,28.02,CALL,-0.6400000000000006,0.0,-75.9999999999998,1.02,-37.9999999999999,27.0,3
BAC171201C00027500,0.2481,28.23,CALL,-0.14000000000000057,-21.000000000000085,-96.99999999999989,0.73,-58.999999999999986,27.5,14
BAC171201C00028000,0.2373,28.49,CALL,0.35999999999999943,-46.999999999999886,-122.99999999999969,0.49,-84.99999999999979,28.0,402
BAC171201C00028500,0.23,28.81,CALL,0.8599999999999994,-78.99999999999991,-154.99999999999972,0.31,-116.99999999999982,28.5,322
BAC171201C00029000,0.2236,29.19,CALL,1.3599999999999994,-117.00000000000017,-192.99999999999997,0.19,-155.00000000000006,29.0,25
BAC171201C00029500,0.2481,29.64,CALL,1.8599999999999994,-162.0000000000001,-237.9999999999999,0.14,-200.0,29.5,7
BAC171201C00030000,0.2285,30.02,CALL,2.3599999999999994,-200.0,-275.9999999999998,0.02,-237.9999999999999,30.0,54
BAC171201C00030500,0.25,30.55,CALL,2.8599999999999994,-253.0000000000001,-328.9999999999999,0.05,-291.0,30.5,25
BAC171201C00031000,0.2481,31.03,CALL,3.3599999999999994,-301.00000000000017,-376.99999999999994,0.03,-339.00000000000006,31.0,19
BAC171201P00019000,0.5156000000000001,18.98,PUT,-8.64,-828.0000000000001,-903.9999999999999,0.02,-866.0,19.0,40
BAC171201P00020500,0.46090000000000003,20.49,PUT,-7.140000000000001,-677.0000000000003,-753.0000000000001,0.01,-715.0000000000002,20.5,120
BAC171201P00021000,0.47659999999999997,20.95,PUT,-6.640000000000001,-631.0000000000002,-707.0,0.05,-669.0000000000001,21.0,5
BAC171201P00021500,0.4414,21.48,PUT,-6.140000000000001,-578.0000000000001,-653.9999999999999,0.02,-616.0,21.5,10
BAC171201P00022000,0.40630000000000005,21.96,PUT,-5.640000000000001,-530.0000000000001,-605.9999999999999,0.04,-568.0,22.0,15
BAC171201P00023000,0.2969,22.97,PUT,-4.640000000000001,-429.0000000000003,-505.00000000000006,0.03,-467.00000000000017,23.0,6
BAC171201P00023500,0.2852,23.47,PUT,-4.140000000000001,-379.0000000000003,-455.00000000000006,0.03,-417.00000000000017,23.5,24
BAC171201P00024000,0.2793,23.96,PUT,-3.6400000000000006,-330.00000000000006,-405.9999999999999,0.04,-368.0,24.0,2
BAC171201P00024500,0.2539,24.45,PUT,-3.1400000000000006,-281.0000000000002,-357.0,0.05,-319.0000000000001,24.5,1
BAC171201P00025000,0.2422,24.91,PUT,-2.6400000000000006,-235.00000000000014,-310.99999999999994,0.09,-273.00000000000006,25.0,7
BAC171201P00025500,0.2324,25.36,PUT,-2.1400000000000006,-190.00000000000023,-266.0,0.14,-228.0000000000001,25.5,16
BAC171201P00026000,0.2119,25.83,PUT,-1.6400000000000006,-143.00000000000034,-219.0000000000001,0.17,-181.00000000000023,26.0,40
BAC171201P00026500,0.2119,26.17,PUT,-1.1400000000000006,-108.99999999999999,-184.99999999999977,0.33,-146.9999999999999,26.5,117
BAC171201P00027000,0.20120000000000002,26.52,PUT,-0.6400000000000006,-74.0000000000002,-150.0,0.48,-112.0000000000001,27.0,14
BAC171201P00027500,0.1924,26.8,PUT,-0.14000000000000057,-46.000000000000085,-121.99999999999989,0.7,-83.99999999999999,27.5,23
BAC171201P00028000,0.1856,26.97,PUT,0.35999999999999943,-29.00000000000027,-105.00000000000007,1.03,-67.00000000000017,28.0,45
BAC171201P00028500,0.1231,27.01,PUT,0.8599999999999994,-25.0,-100.9999999999998,1.49,-62.9999999999999,28.5,1
BAC171201P00029000,0.1641,27.27,PUT,1.3599999999999994,0.999999999999801,-75.0,1.73,-37.0000000000001,29.0,10
BAC171201P00029500,0.0,27.64,PUT,1.8599999999999994,37.9999999999999,-37.9999999999999,1.86,0.0,29.5,1
BAC171201P00030000,0.38380000000000003,27.04,PUT,2.3599999999999994,-22.00000000000024,-98.00000000000004,2.96,-60.00000000000014,30.0,50
BAC171201P00032000,0.5049,25.65,PUT,4.359999999999999,-161.00000000000028,-237.0000000000001,6.35,-199.0000000000002,32.0,10
BAC171201P00033000,0.0,27.45,PUT,5.359999999999999,18.999999999999773,-57.00000000000003,5.55,-19.000000000000128,33.0,2
