,IV,b-even_Price,contract,diff,h_return,l_return,last price,return,strike,volume
BAC180216C00013000,0.0,26.22,CALL,-14.64,179.9999999999999,104.00000000000009,13.22,142.0,13.0,2
BAC180216C00015000,0.8554999999999999,27.619999999999997,CALL,-12.64,40.000000000000036,-35.999999999999766,12.62,2.000000000000135,15.0,4
BAC180216C00017000,0.6191,27.6,CALL,-10.64,42.00000000000017,-33.99999999999963,10.6,3.9999999999999147,17.0,78
BAC180216C00018000,0.5586,27.6,CALL,-9.64,42.00000000000017,-33.99999999999963,9.6,3.9999999999999147,18.0,70
BAC180216C00019000,0.0,25.37,CALL,-8.64,264.9999999999999,189.00000000000006,6.37,226.99999999999994,19.0,2
BAC180216C00020000,0.4658,27.64,CALL,-7.640000000000001,37.9999999999999,-37.9999999999999,7.64,0.0,20.0,14
BAC180216C00021000,0.4961,27.82,CALL,-6.640000000000001,19.99999999999993,-55.99999999999987,6.82,-17.99999999999997,21.0,1
BAC180216C00022000,0.4487,28.05,CALL,-5.640000000000001,-3.0000000000001137,-78.99999999999991,6.05,-41.000000000000014,22.0,1
BAC180216C00023000,0.3472,27.9,CALL,-4.640000000000001,11.999999999999744,-64.00000000000006,4.9,-25.9999999999998,23.0,4
BAC180216C00024000,0.3267,28.0,CALL,-3.6400000000000006,1.9999999999999574,-73.99999999999984,4.0,-35.99999999999994,24.0,2
BAC180216C00025000,0.3071,28.13,CALL,-2.6400000000000006,-10.999999999999943,-86.99999999999974,3.13,-48.999999999999844,25.0,70
BAC180216C00026000,0.2842,28.4,CALL,-1.6400000000000006,-37.9999999999999,-113.9999999999997,2.4,-75.9999999999998,26.0,81
BAC180216C00027000,0.2695,28.8,CALL,-0.6400000000000006,-78.00000000000011,-153.99999999999991,1.8,-116.00000000000001,27.0,"1,101"
BAC180216C00028000,0.2595,29.28,CALL,0.35999999999999943,-126.00000000000016,-201.99999999999994,1.28,-164.00000000000006,28.0,434
BAC180216C00029000,0.25120000000000003,29.87,CALL,1.3599999999999994,-185.00000000000014,-260.99999999999994,0.87,-223.00000000000006,29.0,"5,104"
BAC180216C00030000,0.2437,30.55,CALL,2.3599999999999994,-253.0000000000001,-328.9999999999999,0.55,-291.0,30.0,579
BAC180216C00031000,0.23929999999999998,31.33,CALL,3.3599999999999994,-330.9999999999999,-406.99999999999966,0.33,-368.9999999999998,31.0,205
BAC180216C00032000,0.2354,32.19,CALL,4.359999999999999,-417.00000000000017,-493.0,0.19,-455.00000000000006,32.0,51
BAC180216C00033000,0.2412,33.14,CALL,5.359999999999999,-512.0000000000001,-587.9999999999999,0.14,-550.0,33.0,10
BAC180216C00034000,0.23829999999999998,34.09,CALL,6.359999999999999,-607.0,-682.9999999999998,0.09,-644.9999999999999,34.0,1
BAC180216C00035000,0.2412,35.05,CALL,7.359999999999999,-703.0000000000001,-778.9999999999999,0.05,-741.0,35.0,205
BAC180216C00036000,0.2539,36.02,CALL,8.36,-800.0,-875.9999999999998,0.02,-837.9999999999999,36.0,4
BAC180216P00013000,0.6015999999999999,12.96,PUT,-14.64,-1430.0,-1505.9999999999998,0.04,-1468.0,13.0,2
BAC180216P00014000,0.5313,13.98,PUT,-13.64,-1328.0,-1404.0,0.02,-1366.0,14.0,90
BAC180216P00015000,0.4844,14.98,PUT,-12.64,-1228.0,-1304.0,0.02,-1266.0,15.0,25
