,IV,b-even_Price,contract,diff,h_return,l_return,last price,return,strike,volume
BAC190118C00003000,1.2109,27.54,CALL,-24.64,48.00000000000004,-27.99999999999976,24.54,10.000000000000142,3.0,1
BAC190118C00005000,0.0,22.47,CALL,-22.64,555.0000000000001,479.0000000000003,17.47,517.0000000000002,5.0,5
BAC190118C00008000,0.7909999999999999,27.86,CALL,-19.64,16.000000000000014,-59.99999999999979,19.86,-21.999999999999886,8.0,1
BAC190118C00010000,0.5703,27.59,CALL,-17.64,42.99999999999997,-32.99999999999983,17.59,5.000000000000071,10.0,24
BAC190118C00013000,0.44630000000000003,27.54,CALL,-14.64,48.00000000000004,-27.99999999999976,14.54,10.000000000000142,13.0,178
BAC190118C00015000,0.4165,27.67,CALL,-12.64,34.999999999999964,-40.99999999999984,12.67,-2.999999999999936,15.0,253
BAC190118C00017000,0.3779,27.83,CALL,-10.64,18.999999999999773,-57.00000000000003,10.83,-18.999999999999773,17.0,38
BAC190118C00020000,0.3372,28.15,CALL,-7.640000000000001,-13.000000000000256,-89.00000000000006,8.15,-50.9999999999998,20.0,54
BAC190118C00022000,0.3148,28.67,CALL,-5.640000000000001,-64.99999999999986,-140.99999999999966,6.67,-103.00000000000011,22.0,36
BAC190118C00025000,0.2888,29.62,CALL,-2.6400000000000006,-160.00000000000014,-235.99999999999994,4.62,-198.00000000000006,25.0,799
BAC190118C00027000,0.2766,30.46,CALL,-0.6400000000000006,-244.0000000000001,-319.99999999999994,3.46,-282.0,27.0,607
BAC190118C00030000,0.2639,32.15,CALL,2.3599999999999994,-412.9999999999999,-488.9999999999997,2.15,-450.9999999999998,30.0,"5,636"
BAC190118C00032000,0.2576,33.49,CALL,4.359999999999999,-546.9999999999999,-622.9999999999997,1.49,-584.9999999999998,32.0,271
BAC190118C00035000,0.252,35.83,CALL,7.359999999999999,-780.9999999999999,-856.9999999999997,0.83,-818.9999999999998,35.0,139
BAC190118C00037000,0.2483,37.56,CALL,9.36,-953.9999999999999,-1029.9999999999998,0.56,-991.9999999999998,37.0,"1,125"
BAC190118C00040000,0.251,40.35,CALL,12.36,-1233.0000000000002,-1309.0,0.35,-1271.0,40.0,1
BAC190118P00003000,0.7188,2.99,PUT,-24.64,-2427.0000000000005,-2503.0,0.01,-2465.0,3.0,100
BAC190118P00005000,0.6172,4.99,PUT,-22.64,-2227.0000000000005,-2303.0,0.01,-2265.0,5.0,60
BAC190118P00008000,0.5234000000000001,7.97,PUT,-19.64,-1929.0000000000002,-2005.0,0.03,-1967.0000000000002,8.0,15
BAC190118P00010000,0.44530000000000003,9.97,PUT,-17.64,-1729.0,-1804.9999999999998,0.03,-1767.0000000000002,10.0,10
BAC190118P00013000,0.3809,12.9,PUT,-14.64,-1436.0000000000002,-1512.0,0.1,-1474.0,13.0,50
BAC190118P00015000,0.35450000000000004,14.8,PUT,-12.64,-1246.0,-1322.0,0.2,-1284.0,15.0,11
BAC190118P00017000,0.3335,16.68,PUT,-10.64,-1058.0000000000002,-1134.0,0.32,-1096.0,17.0,348
BAC190118P00020000,0.30079999999999996,19.29,PUT,-7.640000000000001,-797.0000000000002,-873.0,0.71,-835.0000000000001,20.0,"1,580"
BAC190118P00022000,0.28350000000000003,20.91,PUT,-5.640000000000001,-635.0000000000001,-711.0,1.09,-673.0,22.0,35
BAC190118P00030000,0.2398,25.6,PUT,2.3599999999999994,-166.0,-241.99999999999983,4.4,-203.99999999999991,30.0,336
BAC190118P00032000,0.2164,26.34,PUT,4.359999999999999,-92.00000000000017,-167.99999999999997,5.66,-130.00000000000006,32.0,48
BAC190118P00035000,0.1909,27.06,PUT,7.359999999999999,-20.000000000000284,-96.00000000000009,7.94,-58.000000000000185,35.0,52
BAC190118P00037000,0.1577,27.33,PUT,9.36,6.999999999999673,-69.00000000000013,9.67,-31.000000000000227,37.0,53
BAC190118P00040000,0.18899999999999997,27.4,PUT,12.36,13.999999999999702,-62.0000000000001,12.6,-24.0000000000002,40.0,50
