,IV,b-even_Price,contract,diff,h_return,l_return,last price,return,strike,volume
BAC180615C00013000,0.0,26.490000000000002,CALL,-14.64,152.99999999999994,77.00000000000014,13.49,115.00000000000003,13.0,16
BAC180615C00015000,0.6182,27.83,CALL,-12.64,18.99999999999995,-56.99999999999985,12.83,-18.99999999999995,15.0,5
BAC180615C00016000,0.0,25.85,CALL,-11.64,217.00000000000017,141.00000000000037,9.85,178.99999999999991,16.0,2
BAC180615C00017000,0.0,25.97,CALL,-10.64,204.99999999999972,128.99999999999991,8.97,167.00000000000017,17.0,2
BAC180615C00018000,0.436,27.7,CALL,-9.64,32.00000000000003,-43.99999999999977,9.7,-5.999999999999872,18.0,61
BAC180615C00019000,0.4439,27.689999999999998,CALL,-8.64,32.99999999999983,-42.99999999999997,8.69,-4.999999999999716,19.0,50
BAC180615C00020000,0.37450000000000006,27.75,CALL,-7.640000000000001,26.999999999999957,-48.999999999999844,7.75,-10.999999999999943,20.0,34
BAC180615C00021000,0.38380000000000003,28.05,CALL,-6.640000000000001,-3.0000000000001137,-78.99999999999991,7.05,-41.000000000000014,21.0,1
BAC180615C00022000,0.32909999999999995,28.0,CALL,-5.640000000000001,1.9999999999999574,-73.99999999999984,6.0,-35.99999999999994,22.0,26
BAC180615C00023000,0.3186,28.2,CALL,-4.640000000000001,-17.99999999999997,-93.99999999999977,5.2,-55.99999999999987,23.0,15
BAC180615C00024000,0.3237,28.6,CALL,-3.6400000000000006,-57.99999999999983,-133.99999999999963,4.6,-96.00000000000009,24.0,313
BAC180615C00025000,0.2871,28.71,CALL,-2.6400000000000006,-69.00000000000013,-144.99999999999994,3.71,-107.00000000000003,25.0,566
BAC180615C00026000,0.2786,29.03,CALL,-1.6400000000000006,-101.00000000000016,-176.99999999999994,3.03,-139.00000000000006,26.0,59
BAC180615C00027000,0.2673,29.490000000000002,CALL,-0.6400000000000006,-146.9999999999999,-222.9999999999997,2.49,-185.00000000000014,27.0,175
BAC180615C00028000,0.2605,29.97,CALL,0.35999999999999943,-194.99999999999994,-270.9999999999997,1.97,-232.99999999999983,28.0,83
BAC180615C00029000,0.2539,30.5,CALL,1.3599999999999994,-248.00000000000006,-323.99999999999983,1.5,-285.99999999999994,29.0,174
BAC180615C00030000,0.249,31.15,CALL,2.3599999999999994,-312.9999999999999,-388.9999999999997,1.15,-350.9999999999998,30.0,309
BAC180615C00031000,0.2544,31.96,CALL,3.3599999999999994,-394.0000000000001,-469.99999999999994,0.96,-432.0,31.0,162
BAC180615C00032000,0.24,32.63,CALL,4.359999999999999,-460.99999999999994,-536.9999999999998,0.63,-498.99999999999983,32.0,50
BAC180615C00033000,0.23629999999999998,33.48,CALL,5.359999999999999,-546.0000000000001,-621.9999999999999,0.48,-584.0,33.0,40
BAC180615C00034000,0.2427,34.36,CALL,6.359999999999999,-634.0,-709.9999999999998,0.36,-671.9999999999999,34.0,48
BAC180615C00035000,0.2324,35.23,CALL,7.359999999999999,-721.0000000000001,-796.9999999999999,0.23,-759.0,35.0,10
BAC180615C00036000,0.2432,36.19,CALL,8.36,-817.0000000000002,-893.0,0.19,-855.0000000000001,36.0,4
BAC180615C00037000,0.23829999999999998,37.13,CALL,9.36,-911.0,-986.9999999999998,0.13,-948.9999999999999,37.0,10
BAC180615P00013000,0.44530000000000003,12.97,PUT,-14.64,-1429.0,-1505.0,0.03,-1467.0,13.0,3
BAC180615P00014000,0.4043,13.97,PUT,-13.64,-1329.0,-1405.0,0.03,-1367.0,14.0,10
BAC180615P00015000,0.3789,14.95,PUT,-12.64,-1231.0000000000002,-1307.0,0.05,-1269.0000000000002,15.0,50
BAC180615P00016000,0.3711,15.92,PUT,-11.64,-1134.0000000000002,-1210.0,0.08,-1172.0,16.0,1
BAC180615P00017000,0.3555,16.9,PUT,-10.64,-1036.0000000000002,-1112.0,0.1,-1074.0000000000002,17.0,80
BAC180615P00018000,0.335,17.88,PUT,-9.64,-938.0000000000002,-1014.0,0.12,-976.0000000000001,18.0,34
BAC180615P00019000,0.32030000000000003,18.82,PUT,-8.64,-844.0000000000001,-919.9999999999999,0.18,-882.0,19.0,110
BAC180615P00020000,0.3071,19.75,PUT,-7.640000000000001,-751.0000000000001,-827.0,0.25,-789.0,20.0,253
BAC180615P00021000,0.2915,20.67,PUT,-6.640000000000001,-659.0,-734.9999999999998,0.33,-696.9999999999999,21.0,14
BAC180615P00022000,0.2866,21.53,PUT,-5.640000000000001,-573.0,-648.9999999999999,0.47,-611.0,22.0,201
BAC180615P00023000,0.2752,22.35,PUT,-4.640000000000001,-491.0,-566.9999999999998,0.65,-528.9999999999999,23.0,1
BAC180615P00024000,0.2669,23.15,PUT,-3.6400000000000006,-411.0000000000003,-487.0000000000001,0.85,-449.0000000000002,24.0,31
BAC180615P00025000,0.2593,23.85,PUT,-2.6400000000000006,-341.0,-416.99999999999983,1.15,-378.9999999999999,25.0,167
BAC180615P00026000,0.2515,24.51,PUT,-1.6400000000000006,-275.0,-350.9999999999998,1.49,-312.9999999999999,26.0,96
BAC180615P00027000,0.2429,25.1,PUT,-0.6400000000000006,-216.0,-291.99999999999983,1.9,-253.99999999999991,27.0,27
BAC180615P00028000,0.23629999999999998,25.62,PUT,0.35999999999999943,-164.00000000000006,-239.99999999999986,2.38,-201.99999999999994,28.0,25
BAC180615P00029000,0.2293,26.08,PUT,1.3599999999999994,-118.00000000000033,-194.0000000000001,2.92,-156.00000000000023,29.0,62
BAC180615P00030000,0.2127,26.6,PUT,2.3599999999999994,-66.00000000000001,-141.99999999999983,3.4,-103.99999999999991,30.0,600
BAC180615P00032000,0.1895,27.15,PUT,4.359999999999999,-11.000000000000298,-87.0000000000001,4.85,-49.0000000000002,32.0,1
BAC180615P00033000,0.16699999999999998,27.16,PUT,5.359999999999999,-10.000000000000142,-85.99999999999994,5.84,-48.00000000000004,33.0,3
BAC180615P00035000,0.0,27.45,PUT,7.359999999999999,18.999999999999773,-57.00000000000003,7.55,-19.000000000000128,35.0,30
