,IV,b-even_Price,contract,diff,h_return,l_return,last price,return,strike,volume
BAC180518C00015000,0.0,26.55,CALL,-12.64,146.9999999999999,71.00000000000009,11.55,108.99999999999999,15.0,2
BAC180518C00017000,0.0,27.08,CALL,-10.64,93.99999999999977,17.99999999999997,10.08,56.00000000000023,17.0,1
BAC180518C00018000,0.0,26.61,CALL,-9.64,141.0,65.00000000000021,8.61,103.00000000000011,18.0,2
BAC180518C00019000,0.47409999999999997,27.89,CALL,-8.64,12.9999999999999,-62.9999999999999,8.89,-25.0,19.0,1
BAC180518C00020000,0.38670000000000004,27.740000000000002,CALL,-7.640000000000001,28.000000000000114,-47.99999999999969,7.74,-10.000000000000142,20.0,9
BAC180518C00021000,0.2324,26.35,CALL,-6.640000000000001,167.00000000000017,91.00000000000037,5.35,128.99999999999991,21.0,10
BAC180518C00022000,0.33130000000000004,27.95,CALL,-5.640000000000001,7.000000000000028,-68.99999999999977,5.95,-30.999999999999872,22.0,2
BAC180518C00023000,0.3489,28.18,CALL,-4.640000000000001,-16.000000000000014,-91.99999999999982,5.18,-53.999999999999915,23.0,10
BAC180518C00024000,0.2991,28.3,CALL,-3.6400000000000006,-28.000000000000114,-103.99999999999991,4.3,-66.00000000000001,24.0,10
BAC180518C00025000,0.3135,28.82,CALL,-2.6400000000000006,-80.00000000000007,-155.9999999999999,3.82,-117.99999999999997,25.0,37
BAC180518C00026000,0.2776,28.98,CALL,-1.6400000000000006,-96.00000000000009,-171.9999999999999,2.98,-134.0,26.0,5
BAC180518C00027000,0.2681,29.35,CALL,-0.6400000000000006,-133.00000000000017,-209.0,2.35,-171.00000000000009,27.0,72
BAC180518C00028000,0.261,29.83,CALL,0.35999999999999943,-181.00000000000023,-257.0,1.83,-218.99999999999977,28.0,65
BAC180518C00029000,0.2534,30.39,CALL,1.3599999999999994,-237.0000000000001,-312.9999999999999,1.39,-275.0,29.0,109
BAC180518C00030000,0.24710000000000001,31.04,CALL,2.3599999999999994,-301.99999999999994,-377.9999999999998,1.04,-339.9999999999999,30.0,59
BAC180518C00031000,0.2529,31.82,CALL,3.3599999999999994,-380.00000000000006,-455.9999999999999,0.82,-418.0,31.0,10
BAC180518C00032000,0.23800000000000002,32.53,CALL,4.359999999999999,-451.00000000000017,-527.0,0.53,-489.00000000000006,32.0,4
BAC180518C00033000,0.2432,33.42,CALL,5.359999999999999,-540.0000000000002,-616.0,0.42,-578.0000000000001,33.0,40
BAC180518C00034000,0.24170000000000003,34.26,CALL,6.359999999999999,-624.0000000000002,-700.0,0.26,-662.0000000000001,34.0,6
BAC180518C00035000,0.231,35.17,CALL,7.359999999999999,-715.0000000000002,-791.0,0.17,-753.0000000000001,35.0,10
BAC180518P00013000,0.4746,12.98,PUT,-14.64,-1428.0,-1504.0,0.02,-1466.0,13.0,631
BAC180518P00014000,0.41409999999999997,13.97,PUT,-13.64,-1329.0,-1405.0,0.03,-1367.0,14.0,10
BAC180518P00015000,0.3906,14.97,PUT,-12.64,-1229.0,-1305.0,0.03,-1267.0,15.0,10
BAC180518P00016000,0.4043,15.93,PUT,-11.64,-1133.0000000000002,-1209.0,0.07,-1171.0,16.0,20
BAC180518P00017000,0.3496,16.94,PUT,-10.64,-1032.0,-1107.9999999999998,0.06,-1070.0,17.0,15
BAC180518P00018000,0.33399999999999996,17.9,PUT,-9.64,-936.0000000000003,-1012.0000000000001,0.1,-974.0000000000002,18.0,1
BAC180518P00019000,0.3135,18.86,PUT,-8.64,-840.0000000000002,-916.0,0.14,-878.0000000000001,19.0,77
BAC180518P00020000,0.30269999999999997,19.82,PUT,-7.640000000000001,-744.0000000000001,-819.9999999999999,0.18,-782.0,20.0,24
BAC180518P00021000,0.28809999999999997,20.75,PUT,-6.640000000000001,-651.0000000000001,-727.0,0.25,-689.0,21.0,45
BAC180518P00022000,0.2827,21.65,PUT,-5.640000000000001,-561.0000000000003,-637.0000000000001,0.35,-599.0000000000002,22.0,45
BAC180518P00023000,0.2727,22.47,PUT,-4.640000000000001,-479.0000000000003,-555.0000000000001,0.53,-517.0000000000002,23.0,10
BAC180518P00024000,0.26170000000000004,23.27,PUT,-3.6400000000000006,-399.0000000000002,-475.0,0.73,-437.0000000000001,24.0,5
BAC180518P00025000,0.24780000000000002,24.04,PUT,-2.6400000000000006,-322.0000000000002,-398.00000000000006,0.96,-360.0000000000001,25.0,24
BAC180518P00026000,0.24609999999999999,24.69,PUT,-1.6400000000000006,-257.0,-332.99999999999983,1.31,-294.99999999999994,26.0,49
BAC180518P00027000,0.2305,25.4,PUT,-0.6400000000000006,-186.00000000000028,-262.0000000000001,1.6,-224.0000000000002,27.0,10
BAC180518P00028000,0.2202,25.91,PUT,0.35999999999999943,-135.00000000000014,-210.99999999999994,2.09,-173.00000000000006,28.0,2
BAC180518P00029000,0.21050000000000002,26.13,PUT,1.3599999999999994,-113.00000000000026,-189.00000000000006,2.87,-151.00000000000017,29.0,32
BAC180518P00030000,0.2202,26.55,PUT,2.3599999999999994,-71.00000000000009,-146.9999999999999,3.45,-108.99999999999999,30.0,49
BAC180518P00031000,0.19260000000000002,26.91,PUT,3.3599999999999994,-35.00000000000014,-110.99999999999994,4.09,-73.00000000000004,31.0,75
BAC180518P00032000,0.16940000000000002,27.2,PUT,4.359999999999999,-6.000000000000227,-82.00000000000003,4.8,-44.00000000000013,32.0,1
