,IV,b-even_Price,contract,diff,h_return,l_return,last price,return,strike,volume
BAC171117C00013000,0.0,25.77,CALL,-14.64,225.0,149.0000000000002,12.77,187.0000000000001,13.0,35
BAC171117C00014000,0.0,25.21,CALL,-13.64,280.9999999999999,205.00000000000006,11.21,242.99999999999997,14.0,65
BAC171117C00015000,0.0,27.1,CALL,-12.64,92.0,16.000000000000192,12.1,54.00000000000009,15.0,20
BAC171117C00016000,1.9199000000000002,27.9,CALL,-11.64,11.999999999999744,-63.99999999999988,11.9,-25.99999999999998,16.0,25
BAC171117C00017000,1.7168,27.6,CALL,-10.64,42.00000000000017,-33.99999999999963,10.6,3.9999999999999147,17.0,10
BAC171117C00018000,0.0,26.4,CALL,-9.64,161.99999999999974,85.99999999999994,8.4,124.0000000000002,18.0,1
BAC171117C00019000,1.4199000000000002,27.78,CALL,-8.64,24.0000000000002,-51.9999999999996,8.78,-14.000000000000057,19.0,5
BAC171117C00020000,1.0645,27.56,CALL,-7.640000000000001,46.000000000000085,-29.999999999999716,7.56,8.000000000000185,20.0,25
BAC171117C00020500,1.1934,27.3,CALL,-7.140000000000001,71.99999999999989,-3.9999999999999147,6.8,33.999999999999986,20.5,1
BAC171117C00021000,0.9336,27.6,CALL,-6.640000000000001,42.00000000000017,-33.99999999999963,6.6,3.9999999999999147,21.0,1
BAC171117C00022000,0.8066,27.6,CALL,-5.640000000000001,42.00000000000017,-33.99999999999963,5.6,3.9999999999999147,22.0,11
BAC171117C00023000,0.6836,27.7,CALL,-4.640000000000001,32.00000000000003,-43.99999999999977,4.7,-5.999999999999872,23.0,2
BAC171117C00024000,0.5596,27.6,CALL,-3.6400000000000006,41.999999999999815,-33.999999999999986,3.6,3.9999999999999147,24.0,177
BAC171117C00024500,0.6289,27.82,CALL,-3.1400000000000006,19.99999999999993,-55.99999999999987,3.32,-17.99999999999997,24.5,2
BAC171117C00025000,0.45899999999999996,27.66,CALL,-2.6400000000000006,35.99999999999994,-39.99999999999986,2.66,-1.9999999999999574,25.0,"1,922"
BAC171117C00025500,0.40630000000000005,27.66,CALL,-2.1400000000000006,35.99999999999994,-39.99999999999986,2.16,-1.9999999999999574,25.5,45
BAC171117C00026000,0.3594,27.7,CALL,-1.6400000000000006,32.00000000000003,-43.99999999999977,1.7,-5.999999999999872,26.0,356
BAC171117C00026500,0.3154,27.77,CALL,-1.1400000000000006,25.0,-50.9999999999998,1.27,-12.9999999999999,26.5,898
BAC171117C00027000,0.2852,27.89,CALL,-0.6400000000000006,12.9999999999999,-62.9999999999999,0.89,-25.0,27.0,"4,226"
BAC171117C00027500,0.2647,28.08,CALL,-0.14000000000000057,-5.999999999999872,-81.99999999999967,0.58,-43.99999999999977,27.5,"2,650"
BAC171117C00028000,0.24710000000000001,28.35,CALL,0.35999999999999943,-33.000000000000185,-108.99999999999999,0.35,-71.00000000000009,28.0,"2,117"
BAC171117C00028500,0.2422,28.69,CALL,0.8599999999999994,-67.00000000000017,-142.99999999999997,0.19,-105.00000000000007,28.5,"3,013"
BAC171117C00029000,0.2334,29.1,CALL,1.3599999999999994,-108.00000000000018,-184.0,0.1,-146.00000000000009,29.0,681
BAC171117C00029500,0.2324,29.55,CALL,1.8599999999999994,-153.0000000000001,-228.99999999999991,0.05,-191.0,29.5,752
BAC171117C00030000,0.2441,30.02,CALL,2.3599999999999994,-200.0,-275.9999999999998,0.02,-237.9999999999999,30.0,234
BAC171117C00030500,0.2774,30.53,CALL,2.8599999999999994,-251.00000000000017,-326.99999999999994,0.03,-289.00000000000006,30.5,300
BAC171117C00031000,0.2891,31.01,CALL,3.3599999999999994,-299.0000000000002,-375.0,0.01,-337.0000000000001,31.0,2
BAC171117C00031500,0.32030000000000003,31.51,CALL,3.8599999999999994,-349.0000000000002,-425.0,0.01,-387.0000000000001,31.5,800
BAC171117C00032000,0.35159999999999997,32.01,CALL,4.359999999999999,-399.0000000000002,-475.0,0.01,-437.0000000000001,32.0,"1,000"
BAC171117C00033000,0.457,33.04,CALL,5.359999999999999,-501.99999999999994,-577.9999999999998,0.04,-539.9999999999999,33.0,100
BAC171117C00034000,0.46090000000000003,34.03,CALL,6.359999999999999,-601.0000000000001,-677.0,0.03,-639.0,34.0,20
BAC171117C00036000,0.5156000000000001,36.01,CALL,8.36,-799.0000000000002,-875.0,0.01,-837.0000000000001,36.0,100
BAC171117C00037000,0.5156000000000001,37.01,CALL,9.36,-899.0000000000002,-975.0,0.01,-937.0000000000001,37.0,200
BAC171117P00013000,1.25,12.99,PUT,-14.64,-1427.0000000000002,-1503.0,0.01,-1465.0,13.0,31
BAC171117P00014000,1.3125,13.97,PUT,-13.64,-1329.0,-1405.0,0.03,-1367.0,14.0,901
BAC171117P00015000,1.0,14.99,PUT,-12.64,-1227.0000000000002,-1303.0,0.01,-1265.0,15.0,10
BAC171117P00016000,0.9688,15.99,PUT,-11.64,-1127.0000000000002,-1203.0,0.01,-1165.0,16.0,99
BAC171117P00017000,0.875,16.99,PUT,-10.64,-1027.0000000000002,-1103.0,0.01,-1065.0000000000002,17.0,75
BAC171117P00018000,0.7188,17.98,PUT,-9.64,-928.0000000000001,-1003.9999999999999,0.02,-966.0,18.0,2
BAC171117P00019000,0.6875,18.99,PUT,-8.64,-827.0000000000003,-903.0000000000001,0.01,-865.0000000000002,19.0,10
BAC171117P00020000,0.6093999999999999,19.99,PUT,-7.640000000000001,-727.0000000000003,-803.0000000000001,0.01,-765.0000000000002,20.0,17
BAC171117P00021000,0.5156000000000001,20.99,PUT,-6.640000000000001,-627.0000000000003,-703.0000000000001,0.01,-665.0000000000002,21.0,111
BAC171117P00021500,0.47659999999999997,21.48,PUT,-6.140000000000001,-578.0000000000001,-653.9999999999999,0.02,-616.0,21.5,1
BAC171117P00022000,0.4375,21.99,PUT,-5.640000000000001,-527.0000000000003,-603.0000000000001,0.01,-565.0000000000002,22.0,33
BAC171117P00022500,0.39840000000000003,22.49,PUT,-5.140000000000001,-477.00000000000034,-553.0000000000001,0.01,-515.0000000000002,22.5,6
BAC171117P00023000,0.39840000000000003,22.99,PUT,-4.640000000000001,-427.00000000000034,-503.0000000000001,0.01,-465.0000000000002,23.0,874
BAC171117P00024000,0.3125,23.99,PUT,-3.6400000000000006,-327.00000000000034,-403.0000000000001,0.01,-365.0000000000002,24.0,127
BAC171117P00024500,0.2734,24.49,PUT,-3.1400000000000006,-277.00000000000034,-353.0000000000001,0.01,-315.0000000000002,24.5,40
BAC171117P00025000,0.2656,24.96,PUT,-2.6400000000000006,-230.00000000000006,-305.9999999999999,0.04,-268.0,25.0,102
BAC171117P00025500,0.2422,25.44,PUT,-2.1400000000000006,-182.00000000000003,-257.99999999999983,0.06,-219.99999999999994,25.5,10
BAC171117P00026000,0.2158,25.92,PUT,-1.6400000000000006,-134.0,-209.99999999999977,0.08,-171.9999999999999,26.0,"8,382"
BAC171117P00026500,0.20120000000000002,26.34,PUT,-1.1400000000000006,-92.00000000000017,-167.99999999999997,0.16,-130.00000000000006,26.5,"16,260"
BAC171117P00027000,0.1865,26.73,PUT,-0.6400000000000006,-53.000000000000114,-128.99999999999991,0.27,-91.00000000000001,27.0,"3,135"
BAC171117P00027500,0.1699,27.04,PUT,-0.14000000000000057,-22.00000000000024,-98.00000000000004,0.46,-60.00000000000014,27.5,932
BAC171117P00028000,0.13970000000000002,27.27,PUT,0.35999999999999943,0.999999999999801,-75.0,0.73,-37.0000000000001,28.0,375
BAC171117P00028500,0.0,27.39,PUT,0.8599999999999994,12.9999999999999,-62.9999999999999,1.11,-25.0,28.5,27
BAC171117P00029000,0.0,27.45,PUT,1.3599999999999994,18.999999999999773,-57.00000000000003,1.55,-19.000000000000128,29.0,52
BAC171117P00029500,0.0,27.81,PUT,1.8599999999999994,54.999999999999716,-21.000000000000085,1.69,16.999999999999815,29.5,10
BAC171117P00030000,0.0,27.56,PUT,2.3599999999999994,29.999999999999716,-46.000000000000085,2.44,-8.000000000000185,30.0,32
BAC171117P00030500,0.0,27.78,PUT,2.8599999999999994,51.99999999999996,-23.999999999999844,2.72,14.000000000000057,30.5,15
BAC171117P00031000,0.5176,26.4,PUT,3.3599999999999994,-86.0000000000003,-162.0000000000001,4.6,-124.0000000000002,31.0,4
BAC171117P00031500,0.0,27.95,PUT,3.8599999999999994,68.99999999999977,-7.000000000000028,3.55,30.999999999999872,31.5,20
BAC171117P00032000,0.6035,23.98,PUT,4.359999999999999,-328.0000000000001,-403.9999999999999,8.02,-366.0,32.0,1
BAC171117P00033000,0.6826000000000001,24.4,PUT,5.359999999999999,-286.0000000000003,-362.0000000000001,8.6,-324.0000000000002,33.0,24
BAC171117P00034000,0.7578,25.35,PUT,6.359999999999999,-191.0,-266.99999999999983,8.65,-228.99999999999991,34.0,49
BAC171117P00035000,0.0,27.81,PUT,7.359999999999999,54.999999999999716,-21.000000000000085,7.19,16.999999999999815,35.0,16
BAC171117P00037000,0.0,27.64,PUT,9.36,37.9999999999999,-37.9999999999999,9.36,0.0,37.0,10
